GLG_Player,GLG_Tm,GLG_Age,GLG_G,GLG_MP,GLG_PER,GLG_TS%,GLG_3PAr,GLG_FTr,GLG_ORB%,GLG_DRB%,GLG_TRB%,GLG_AST%,GLG_STL%,GLG_BLK%,GLG_TOV%,GLG_USG%,GLG_Ws-dum,GLG_OWS,GLG_DWS,GLG_WS,GLG_WS/48,GLG_Bpm-dum,GLG_OBPM,GLG_DBPM,GLG_BPM,GLG_VORP
Player,Tm,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ws-dum,OWS,DWS,WS,WS/48,Bpm-dum,OBPM,DBPM,BPM,VORP
Quinton Chievou,IO,24,48,1165,12.3,0.573,0.194,0.394,5.8,15.7,10.8,11.1,1.0,1.3,15.9,15.7,,0.9,0.9,1.8,0.073,,,,,
Dionte Christma,DE,30,31,980,13.0,0.567,0.469,0.297,2.0,9.7,5.9,14.7,1.3,0.6,16.6,20.9,,0.8,0.6,1.3,0.065,,,,,
Rakeem Christma,FO,25,9,207,12.1,0.515,0.000,0.485,10.7,17.7,14.1,3.5,0.5,4.6,15.4,20.0,,0.0,0.2,0.2,0.048,,,,,
Semaj Christo,OK,24,4,133,13.0,0.472,0.063,0.438,1.7,10.5,6.2,25.2,2.6,0.7,16.4,29.6,,-0.2,0.2,0.1,0.020,,,,,
Dennis Cliffor,SA,24,38,990,16.5,0.621,0.000,0.595,8.3,22.6,15.7,11.8,1.1,3.0,21.7,19.7,,0.9,1.6,2.5,0.123,,,,,
Kyle Collinswort,TE,25,36,983,14.7,0.473,0.182,0.227,10.4,17.0,13.6,17.5,3.0,2.6,15.7,12.1,,1.1,1.0,2.1,0.103,,,,,
Derek Cooke Jr,NA,25,50,1069,16.8,0.551,0.010,0.323,16.1,22.1,18.9,5.6,1.9,2.2,14.2,15.5,,1.4,1.7,3.1,0.139,,,,,
Elgin Coo,SA,24,20,465,23.1,0.636,0.116,0.522,8.9,13.6,11.3,7.0,2.0,1.5,10.9,25.7,,1.4,0.6,2.1,0.212,,,,,
Quinn Coo,CA,23,39,1502,20.8,0.600,0.353,0.322,1.5,10.3,5.8,28.4,1.4,0.2,14.4,27.6,,4.1,1.2,5.2,0.167,,,,,
Trevor Coone,LI,24,22,293,5.9,0.482,0.584,0.117,1.0,7.2,4.0,7.3,0.8,1.3,12.0,12.6,,-0.1,0.1,0.1,0.009,,,,,
