Rk,NBA_Player,Pos,NBA_Age,NBA_Tm,NBA_G,NBA_MP,NBA_PER,NBA_TS%,NBA_3PAr,NBA_FTr,NBA_ORB%,NBA_DRB%,NBA_TRB%,NBA_AST%,NBA_STL%,NBA_BLK%,NBA_TOV%,NBA_USG%,,NBA_OWS,NBA_DWS,NBA_WS,NBA_WS/48,,NBA_OBPM,NBA_DBPM,NBA_BPM,NBA_VORP
46,Jabari Bird\birdja01,SG,23,BOS,4,22,6.1,0.403,0.500,1.250,0.0,9.7,4.9,6.2,2.3,0.0,0.0,12.6,,0.0,0.0,0.0,0.064,,-4.6,0.0,-4.6,0.0
47,Bismack Biyombo\biyombi01,C,25,ORL,47,874,13.9,0.569,0.005,0.505,10.8,24.0,17.4,4.5,0.5,5.9,17.7,13.5,,0.8,0.9,1.7,0.094,,-3.6,2.0,-1.6,0.1
48,Nemanja Bjelica\bjeline01,PF,29,MIN,36,567,13.6,0.620,0.482,0.137,4.0,18.2,11.0,6.8,1.8,0.6,12.3,15.9,,0.9,0.4,1.3,0.110,,0.9,-1.2,-0.3,0.2
49,Tarik Black\blackta01,C,26,HOU,34,343,13.3,0.560,0.089,0.500,14.1,20.0,17.0,3.5,1.8,4.5,19.7,17.3,,0.2,0.5,0.7,0.103,,-3.6,1.1,-2.6,0.0
50,Antonio Blakeney\blakean01,SG,21,CHI,11,163,8.0,0.457,0.364,0.247,1.9,11.5,6.6,6.8,0.6,0.0,8.6,25.1,,-0.2,0.1,-0.2,-0.052,,-5.0,-4.4,-9.4,-0.3
51,Eric Bledsoe\bledser01,PG,28,TOT,40,1255,17.9,0.544,0.353,0.344,2.6,11.0,6.8,21.6,3.5,1.7,15.6,27.5,,0.5,1.4,1.8,0.071,,0.8,-0.3,0.4,0.8
51,Eric Bledsoe\bledser01,PG,28,PHO,3,83,13.2,0.509,0.325,0.350,3.8,5.3,4.5,18.0,2.3,1.9,17.8,28.7,,-0.1,0.0,0.0,-0.017,,-2.2,-2.4,-4.6,-0.1
51,Eric Bledsoe\bledser01,PG,28,MIL,37,1172,18.2,0.546,0.355,0.343,2.6,11.4,7.0,21.8,3.6,1.6,15.4,27.4,,0.5,1.3,1.9,0.077,,1.0,-0.2,0.8,0.8
52,Vander Blue\blueva01,SG,25,LAL,5,45,-1.8,0.255,0.400,0.400,0.0,2.4,1.2,8.2,1.1,0.0,33.8,8.3,,-0.1,0.0,-0.1,-0.102,,-8.8,-1.3,-10.2,-0.1
53,Bogdan Bogdanovic\bogdabo01,SG,25,SAC,45,1215,14.0,0.588,0.411,0.172,1.5,10.3,5.8,17.2,1.7,0.9,15.3,19.1,,1.2,0.4,1.7,0.067,,0.7,-1.7,-1.0,0.3
54,Bojan Bogdanovic\bogdabo02,SF,28,IND,48,1464,12.5,0.582,0.462,0.201,1.0,10.9,6.0,6.8,1.2,0.1,9.7,18.5,,1.6,0.8,2.4,0.080,,0.5,-2.0,-1.5,0.2
55,Andrew Bogut\bogutan01,C,33,LAL,24,216,10.9,0.696,0.000,0.080,12.7,25.8,19.2,9.2,0.9,4.9,42.3,8.7,,0.1,0.3,0.4,0.091,,-3.8,3.6,-0.2,0.1
56,Joel Bolomboy\bolomjo01,PF,24,MIL,6,38,11.9,0.521,0.167,1.000,18.9,12.7,15.8,0.0,2.6,0.0,18.8,12.8,,0.0,0.0,0.1,0.081,,-2.9,-4.7,-7.7,-0.1
57,Devin Booker\bookede01,SG,21,PHO,39,1326,18.9,0.569,0.364,0.342,1.4,13.2,7.2,24.5,1.4,0.6,14.3,31.3,,1.9,0.5,2.4,0.088,,3.3,-2.1,1.1,1.1
58,Trevor Booker\booketr01,PF,30,TOT,38,693,16.0,0.567,0.068,0.321,10.8,19.4,15.1,12.5,1.2,1.6,14.3,18.1,,1.0,0.8,1.8,0.125,,-0.9,0.9,0.0,0.3
58,Trevor Booker\booketr01,PF,30,BRK,18,395,15.6,0.536,0.087,0.287,10.0,21.9,15.9,16.4,1.0,1.0,15.1,21.6,,0.3,0.4,0.7,0.084,,-1.4,0.8,-0.6,0.1
58,Trevor Booker\booketr01,PF,30,PHI,20,298,16.6,0.630,0.028,0.394,11.7,16.1,14.0,7.3,1.4,2.5,12.6,13.6,,0.7,0.4,1.1,0.178,,-0.2,1.1,0.9,0.2
59,Avery Bradley\bradlav01,SG,27,DET,39,1242,10.2,0.497,0.339,0.142,1.7,6.8,4.2,10.4,1.9,0.5,13.1,24.6,,-1.1,1.2,0.0,0.001,,-2.5,-1.3,-3.8,-0.6
60,Tony Bradley\bradlto01,C,20,UTA,8,28,10.1,0.337,0.091,0.182,16.0,29.0,22.4,5.4,0.0,0.0,0.0,19.3,,0.0,0.0,0.0,0.010,,-6.6,-3.7,-10.3,-0.1
61,Corey Brewer\breweco01,SF,31,LAL,45,571,8.6,0.510,0.301,0.316,2.6,11.3,6.9,7.9,3.0,1.0,17.1,13.8,,-0.2,0.7,0.5,0.045,,-3.8,1.2,-2.6,-0.1
62,Malcolm Brogdon\brogdma01,PG,25,MIL,44,1373,14.7,0.580,0.317,0.172,1.9,11.1,6.5,16.6,1.5,0.8,10.8,19.4,,2.1,0.7,2.7,0.096,,1.0,-1.9,-0.9,0.4
63,Aaron Brooks\brookaa01,PG,33,MIN,23,153,10.3,0.512,0.412,0.078,3.7,6.2,5.0,14.9,1.6,0.0,11.7,17.3,,0.1,0.0,0.2,0.047,,-0.6,-3.2,-3.8,-0.1
64,Dillon Brooks\brookdi01,SF,22,MEM,48,1326,8.8,0.563,0.373,0.186,2.3,10.3,6.3,6.7,1.4,0.9,13.5,14.6,,0.5,0.8,1.3,0.046,,-1.7,-0.5,-2.2,-0.1
65,Bobby Brown\brownbo02,PG,33,HOU,20,115,5.5,0.425,0.690,0.034,0.0,7.0,3.5,14.8,1.7,0.0,13.3,25.6,,-0.3,0.1,-0.2,-0.081,,-4.9,-4.4,-9.3,-0.2
66,Jaylen Brown\brownja02,SF,21,BOS,44,1380,13.1,0.547,0.398,0.296,3.8,15.3,9.7,7.5,1.8,1.1,11.9,20.8,,0.5,2.4,2.9,0.100,,-1.1,1.0,-0.1,0.7
67,Lorenzo Brown\brownlo01,PG,27,TOR,11,84,7.5,0.333,0.333,0.000,0.0,13.1,6.6,18.5,1.7,0.0,0.0,9.3,,0.0,0.1,0.1,0.055,,-3.7,0.0,-3.7,0.0
68,Sterling Brown\brownst02,SG,22,MIL,22,268,9.4,0.524,0.429,0.143,4.0,17.1,10.5,3.2,2.4,1.6,11.8,14.4,,0.0,0.3,0.3,0.046,,-3.1,-1.1,-4.2,-0.1
69,Nicolas Brussino\brussni01,SF,24,ATL,4,10,-4.7,0.000,1.000,0.000,0.0,34.4,17.0,0.0,0.0,0.0,0.0,8.8,,0.0,0.0,0.0,-0.177,,-13.6,-5.1,-18.7,0.0
70,Thomas Bryant\bryanth01,C,20,LAL,4,7,17.7,0.694,1.000,1.000,0.0,15.3,7.6,0.0,0.0,0.0,0.0,17.3,,0.0,0.0,0.0,0.184,,2.4,-7.4,-5.0,0.0
71,Reggie Bullock\bullore01,SF,26,DET,31,728,12.5,0.632,0.535,0.059,1.8,6.6,4.1,6.3,1.8,0.7,6.4,12.4,,1.2,0.7,1.9,0.123,,1.0,-0.1,0.9,0.5
72,Trey Burke\burketr01,PG,25,NYK,6,79,30.7,0.672,0.179,0.154,2.9,5.6,4.3,54.8,0.6,0.0,8.8,25.5,,0.5,0.0,0.5,0.321,,9.5,-6.2,3.4,0.1
73,Alec Burks\burksal01,SG,26,UTA,45,825,15.5,0.538,0.329,0.341,2.2,18.3,10.1,9.9,2.0,0.9,9.9,23.9,,0.6,1.0,1.5,0.090,,-1.6,-0.9,-2.5,-0.1
